user_age_group,shop_category,order_hour,order_dayofweek,user_avg_order_amount,shop_avg_price,user_order_count,shop_order_count,label
초등,분식,16,4,7392.857142857143,4881.4387211367675,28,1126,0
초등,일식,17,1,5650.0,9308.743169398907,30,183,1
고등,일식,18,2,6576.923076923077,9803.73831775701,13,214,1
초등,아시안,17,6,6711.538461538462,8282.312925170068,26,147,0
고등,베이커리,15,4,6660.714285714285,4262.962962962963,28,405,1
고등,베이커리,19,3,6475.0,5090.848806366048,20,754,1
기타,한식,17,4,6625.0,8172.588832487309,28,197,0
초등,일식,19,1,8000.0,8641.509433962265,14,530,0
기타,카페디저트,13,0,6375.0,5498.251748251748,20,286,1
초등,분식,16,4,4238.0952380952385,4028.1293952180026,21,711,1
고등,한식,19,0,8750.0,8009.708737864078,18,103,1
고등,한식,16,3,9055.555555555555,9410.714285714286,9,308,0
초등,일식,18,2,9088.235294117647,13418.560606060606,17,264,1
초등,일식,15,5,7750.0,7761.290322580645,18,775,0
고등,양식,19,5,9722.222222222223,11270.440251572327,18,159,0
초등,패스트푸드,12,0,6203.7037037037035,8250.0,27,678,0
고등,카페디저트,20,1,8272.727272727272,6297.029702970297,11,101,1
중등,카페디저트,16,1,7133.333333333333,4387.921653971708,15,919,0
초등,베이커리,16,3,5666.666666666667,4212.5,33,560,1
중등,프렌차이즈,15,5,6671.875,9208.333333333334,32,48,1
고등,한식,18,1,8880.952380952382,12046.153846153846,21,65,1
초등,베이커리,16,2,5378.787878787879,4608.28025477707,33,314,1
중등,일식,13,4,6145.1612903225805,8706.697459584295,31,433,0
중등,카페디저트,18,1,5583.333333333333,4325.949367088608,24,948,0
초등,패스트푸드,16,3,6384.615384615385,5105.691056910569,13,123,1
초등,분식,13,4,4070.5882352941176,5227.272727272727,17,176,0
고등,한식,12,1,7354.166666666667,8934.782608695652,24,46,0
초등,분식,16,6,5727.272727272727,3644.4444444444443,11,945,0
초등,분식,16,6,4600.0,3650.4854368932038,20,206,0
초등,베이커리,16,6,7937.5,4629.201680672269,16,476,0
고등,일식,18,0,6694.444444444444,9970.383275261323,18,287,0
중등,카페디저트,13,1,6625.0,5107.142857142857,16,56,0
초등,베이커리,19,2,4250.0,3131.8289786223277,20,421,1
초등,한식,17,2,5596.153846153846,8397.435897435897,26,39,1
고등,일식,20,0,8029.411764705882,10548.429319371728,17,382,1
초등,베이커리,9,5,4975.0,4212.5,20,560,1
고등,한식,16,3,8545.0,8413.24200913242,20,219,0
고등,한식,19,4,7673.913043478261,8179.245283018868,23,53,0
고등,중식,18,0,6761.9047619047615,8222.222222222223,21,99,0
초등,패스트푸드,13,1,5812.5,7644.827586206897,16,145,0
고등,일식,12,5,7680.0,11401.960784313726,25,408,0
중등,분식,13,3,5944.444444444444,4002.249718785152,18,889,1
중등,베이커리,17,3,5411.764705882353,4212.5,17,560,1
초등,베이커리,15,4,6550.0,5439.56043956044,10,91,0
고등,마트,18,5,7477.272727272727,5222.323049001815,22,551,1
고등,양식,13,5,7200.0,8544.262295081968,15,610,0
고등,중식,16,1,8321.42857142857,8222.222222222223,14,99,0
고등,일식,17,0,7863.636363636364,12033.527696793002,22,343,1
고등,한식,13,6,7630.434782608696,9510.416666666666,23,48,1
고등,한식,20,2,8142.857142857143,8547.79411764706,14,272,1
중등,분식,17,3,6647.058823529412,4922.945205479452,17,292,0
고등,베이커리,16,6,6500.0,5037.313432835821,24,402,1
중등,일식,18,4,7458.333333333333,9984.797297297297,24,296,1
초등,분식,16,5,6950.0,3719.13835956918,10,1207,0
고등,한식,20,6,7133.333333333333,9410.714285714286,15,308,1
초등,분식,15,5,7289.473684210527,3881.5261044176705,19,1245,1
중등,분식,19,6,6058.823529411765,4622.093023255814,17,258,0
초등,패스트푸드,15,5,3372.972972972973,5953.91061452514,37,358,0
초등,베이커리,18,3,6710.526315789473,3775.4820936639117,19,363,0
초등,한식,16,1,7125.0,13577.464788732394,8,71,1
초등,패스트푸드,16,2,5269.2307692307695,5953.91061452514,13,358,0
초등,정육점,17,3,5857.142857142857,9229.05027932961,21,179,0
기타,양식,18,4,7307.692307692308,10320.89552238806,26,67,0
고등,일식,19,6,7428.571428571428,10895.522388059702,21,67,0
고등,분식,13,2,7117.64705882353,4522.857142857143,17,525,1
초등,카페디저트,17,5,6956.521739130435,5686.206896551724,23,290,1
초등,패스트푸드,15,6,7677.272727272727,8871.207430340557,22,323,0
초등,한식,16,2,6119.047619047619,10460.526315789473,21,76,0
초등,카페디저트,15,1,6027.777777777777,4245.098039215686,18,357,0
고등,중식,19,2,7403.846153846154,8267.313019390582,26,361,0
초등,베이커리,17,2,4700.0,5710.601719197708,15,349,1
초등,베이커리,16,6,6000.0,4479.619565217391,10,368,0
고등,카페디저트,18,1,7500.0,4238.993710691824,25,318,0
초등,분식,9,3,5469.69696969697,4875.0,33,336,0
초등,아시안,16,5,5868.421052631579,11287.878787878788,19,33,1
초등,베이커리,15,3,7176.470588235294,5550.802139037433,17,187,0
초등,베이커리,15,3,4979.310344827586,4479.619565217391,29,368,1
초등,카페디저트,15,1,4883.870967741936,6770.27027027027,31,74,1
고등,카페디저트,19,4,6638.888888888889,4325.949367088608,18,948,0
고등,베이커리,15,0,6694.444444444444,4629.201680672269,18,476,1
초등,베이커리,17,4,5342.105263157895,2643.076923076923,19,325,0
중등,일식,19,3,5416.666666666667,7761.290322580645,12,775,0
중등,분식,18,3,7327.586206896552,3682.3529411764707,29,170,0
기타,분식,12,5,5078.125,4028.1293952180026,32,711,0
고등,카페디저트,19,1,7150.0,4930.513595166163,14,331,0
초등,한식,16,4,7458.333333333333,7264.619883040936,12,342,1
초등,분식,20,4,4777.777777777777,4071.6911764705883,18,272,0
중등,베이커리,15,4,4500.0,2643.076923076923,15,325,1
고등,한식,20,3,7074.074074074074,8776.073619631901,27,163,0
고등,베이커리,12,2,6652.173913043478,5090.848806366048,23,754,1
중등,카페디저트,17,1,5520.833333333333,4387.921653971708,24,919,1
초등,한식,13,4,6359.375,8751.162790697674,32,215,1
고등,카페디저트,19,3,6668.75,2656.5891472868216,16,258,1
고등,일식,12,5,6738.0952380952385,9072.745901639344,21,488,1
중등,분식,15,0,5560.0,4002.249718785152,25,889,0
초등,분식,15,6,6484.375,4876.344086021505,32,186,0
중등,분식,13,1,6050.0,4002.249718785152,20,889,1
중등,카페디저트,15,0,5950.0,3299.2700729927005,34,137,1
초등,베이커리,17,4,6115.384615384615,3930.9210526315787,26,304,0
초등,분식,17,0,6431.818181818182,3881.5261044176705,22,1245,0
고등,분식,15,0,6875.0,3719.13835956918,16,1207,1
고등,양식,17,5,7200.0,11168.60465116279,10,172,0
고등,카페디저트,17,4,5948.275862068966,4203.488372093023,29,86,0
중등,한식,17,5,7130.0,8117.924528301887,30,106,1
중등,분식,12,6,5795.454545454545,5227.272727272727,22,176,1
초등,카페디저트,16,0,6113.636363636364,4564.9819494584835,22,277,0
중등,베이커리,18,6,5306.451612903225,2296.352583586626,31,329,0
고등,양식,13,6,7950.0,11168.60465116279,20,172,1
기타,분식,15,2,5833.333333333333,4881.4387211367675,15,1126,0
고등,아시안,16,4,7156.666666666667,10703.125,30,32,1
초등,한식,18,1,5916.666666666667,8207.692307692309,30,65,1
고등,카페디저트,19,2,6083.333333333333,4539.156626506024,18,332,0
초등,편의점,16,5,5108.333333333333,2069.8234349919744,12,623,0
초등,베이커리,17,5,4833.333333333333,3553.8922155688624,30,167,0
고등,중식,18,5,7783.333333333333,8142.011834319526,30,169,1
초등,패스트푸드,17,6,5233.333333333333,5375.0,15,788,0
중등,분식,13,1,5327.272727272727,3723.9077669902913,11,824,1
중등,카페디저트,16,0,7488.235294117647,4930.513595166163,17,331,0
초등,베이커리,12,4,6000.0,3775.4820936639117,19,363,1
초등,편의점,8,6,4774.193548387097,2568.3520599250937,31,534,0
초등,카페디저트,13,1,7714.285714285715,4166.666666666667,7,153,0
초등,분식,16,0,5724.137931034483,4002.249718785152,29,889,1
초등,분식,13,3,5145.833333333333,3927.2197962154296,24,687,0
초등,베이커리,16,0,5738.0952380952385,3462.280701754386,21,342,0
중등,일식,16,2,6025.0,8601.694915254237,20,177,1
고등,일식,20,5,8100.0,11401.960784313726,20,408,0
중등,베이커리,12,1,5469.69696969697,5037.313432835821,33,402,0
고등,일식,19,1,8230.76923076923,10548.429319371728,13,382,1
중등,한식,18,0,5706.896551724138,8170.103092783505,29,97,1
초등,편의점,12,6,5500.0,2069.8234349919744,32,623,0
중등,카페디저트,15,6,7000.0,3553.054662379421,13,311,1
초등,분식,19,5,4941.176470588235,4715.469613259668,17,181,0
기타,한식,18,0,6356.25,8881.31313131313,16,198,1
고등,중식,17,2,7710.526315789473,8222.222222222223,19,99,1
초등,베이커리,15,2,5134.615384615385,3131.8289786223277,26,421,1
초등,한식,17,4,5634.615384615385,8491.379310344828,26,58,1
초등,베이커리,15,6,5500.0,4262.962962962963,11,405,1
초등,카페디저트,16,6,5394.736842105263,6629.56204379562,19,274,0
고등,일식,12,4,7766.666666666667,9812.5,15,136,0
중등,한식,16,3,7115.384615384615,9441.176470588236,13,85,1
초등,중식,17,3,6046.666666666667,8139.423076923077,15,104,0
초등,중식,15,0,5738.0952380952385,8033.56890459364,21,283,1
고등,카페디저트,20,0,5931.818181818182,3245.4545454545455,22,110,1
초등,분식,17,6,4928.571428571428,2676.950998185118,14,551,0
중등,분식,17,6,5423.076923076923,4875.0,13,336,0
중등,카페디저트,19,0,6100.0,4745.1612903225805,25,155,0
초등,카페디저트,20,1,4125.0,4310.661764705882,20,272,0
중등,분식,15,5,4950.0,3679.663608562691,20,654,1
고등,분식,15,0,6423.076923076923,3644.4444444444443,13,945,1
중등,카페디저트,18,0,6976.190476190476,5112.244897959184,21,98,0
중등,카페디저트,19,1,6910.526315789473,5090.909090909091,19,33,0
중등,정육점,15,1,6041.666666666667,9229.05027932961,24,179,1
중등,분식,19,2,5718.75,4028.1293952180026,16,711,1
중등,카페디저트,16,6,5838.709677419355,3925.925925925926,31,81,0
고등,양식,13,4,7312.5,9834.82142857143,32,112,0
초등,분식,18,1,4405.882352941177,4740.116279069767,17,860,0
초등,양식,12,5,6532.258064516129,8378.881987577639,31,161,1
초등,일식,16,5,7738.0952380952385,10448.795180722891,21,166,0
고등,한식,12,1,8100.0,7569.583931133429,15,697,0
고등,분식,20,4,6485.0,3723.9077669902913,20,824,1
초등,패스트푸드,13,0,5875.0,5375.0,16,788,1
초등,베이커리,15,3,6208.333333333333,4629.201680672269,24,476,0
중등,카페디저트,18,2,5307.692307692308,4387.921653971708,13,919,0
고등,카페디저트,18,1,5842.857142857143,4745.1612903225805,35,155,1
중등,한식,16,5,7500.0,9762.295081967213,14,305,1
중등,분식,17,3,6647.058823529412,5343.373493975903,17,249,0
중등,중식당,16,1,7120.0,8169.4915254237285,15,177,0
중등,분식,18,0,5277.777777777777,3644.4444444444443,18,945,1
기타,한식,13,3,5552.631578947368,11593.103448275862,19,145,1
초등,한식,16,1,6740.0,9280.346820809249,25,173,0
초등,분식,15,4,6023.809523809524,4881.4387211367675,21,1126,0
초등,카페디저트,12,5,5000.0,4672.413793103448,19,87,1
중등,한식,17,0,6000.0,9967.548076923076,22,416,1
초등,분식,18,0,5911.764705882353,4881.4387211367675,17,1126,1
초등,카페디저트,16,6,5923.076923076923,4847.540983606557,13,305,1
중등,일식,20,1,6361.111111111111,11401.960784313726,18,408,0
중등,분식,12,3,6281.25,3634.8039215686276,16,204,1
고등,양식,20,3,7190.476190476191,9363.436123348018,21,227,1
고등,중식,12,5,5931.818181818182,8017.857142857143,22,28,0
초등,베이커리,16,2,5555.555555555556,4479.619565217391,9,368,1
초등,분식,7,2,5650.0,3927.2197962154296,30,687,0
초등,베이커리,16,1,6117.64705882353,3131.8289786223277,17,421,1
고등,한식,18,4,6722.222222222223,10091.836734693878,18,98,0
고등,일식,17,1,8954.545454545454,8567.796610169491,22,531,1
고등,분식,19,5,7166.666666666667,3881.5261044176705,21,1245,1
중등,일식,15,1,6250.0,9970.383275261323,16,287,1
중등,카페디저트,19,5,8269.23076923077,4310.661764705882,13,272,0
중등,분식,15,4,5314.814814814815,5468.646864686469,27,303,0
초등,베이커리,15,5,3384.6153846153848,3077.039274924471,13,331,0
초등,분식,17,5,6293.103448275862,3634.8039215686276,29,204,1
초등,카페디저트,16,2,8277.777777777777,5808.1841432225065,9,782,1
중등,한식,18,4,6066.666666666667,12027.60736196319,15,163,1
고등,분식,17,4,7687.5,4471.518987341772,16,158,1
고등,일식,18,4,6440.0,9072.745901639344,25,488,1
초등,베이커리,15,4,4912.5,4479.619565217391,24,368,0
초등,분식,16,6,5500.0,5343.373493975903,23,249,0
고등,카페디저트,19,3,8300.0,4310.661764705882,14,272,1
